state,year,less_9th_grade,9_12th_grade,high_school,some_college_no_degree,associate,bachelor,graduate
Pennsylvania,2015,309871,640130,3207989,1435688,698397,1535222,986815
Pennsylvania,2016,304693,620993,3183249,1432781,712180,1578040,1017910
Pennsylvania,2017,296463,602519,3161786,1427444,724522,1621733,1051486
Pennsylvania,2018,291164,582854,3133655,1426783,741590,1661705,1083612
Pennsylvania,2019,284062,564848,3106571,1426118,758348,1701365,1112920
Pennsylvania,2020,275881,534086,3072381,1425593,775540,1754311,1152206
Pennsylvania,2021,272654,514722,3079339,1432165,795367,1813647,1203603
Rhode Island,2012,47297,60859,195007,130358,57837,131880,86445
Rhode Island,2013,46668,58828,193602,130755,59198,134313,88877
Rhode Island,2014,45347,59177,195930,131602,59340,134617,90148
Rhode Island,2015,43545,56202,196988,133029,61060,137505,92312
Rhode Island,2016,41690,52868,200648,132648,61626,140296,94932
Rhode Island,2017,40167,52194,203355,132266,60883,144515,95881
Rhode Island,2018,38156,49838,207007,133087,61136,145595,98369
Rhode Island,2019,37440,45027,208387,132485,61743,150150,101968
Rhode Island,2020,35049,45209,207358,133216,60894,155981,103663
Rhode Island,2021,36076,47432,213716,135729,62893,160523,110246
South Carolina,2012,173610,317253,932051,633902,263552,486253,269034
South Carolina,2013,169767,312216,933232,651510,270022,501193,280089
South Carolina,2014,164938,308689,948245,663550,276035,511586,290052
South Carolina,2015,158695,304635,955658,674208,287271,530349,299191
South Carolina,2016,153262,302825,963022,686140,299118,551968,313089
South Carolina,2017,148353,299123,978521,692360,309163,571099,326982
South Carolina,2018,141638,294132,998459,698504,324446,588965,338858
South Carolina,2019,139634,290857,1003177,706771,337253,614156,355123
South Carolina,2020,128691,281643,1014022,722543,347421,638394,379912
South Carolina,2021,121992,271456,1008011,708168,351120,653988,392436
South Dakota,2012,23746,28776,169564,118715,52449,97147,41376
South Dakota,2013,23263,28594,171253,119234,54810,98423,42311
South Dakota,2014,22466,28192,171665,119701,57313,101655,43612
South Dakota,2015,21440,28473,172522,120767,59036,104728,44073
South Dakota,2016,20313,28742,171623,121641,61483,107762,45023
South Dakota,2017,19142,28892,170912,122132,63413,109468,46646
South Dakota,2018,17892,29052,173262,120325,65075,112426,49051
South Dakota,2019,17046,30195,173079,120919,66074,113870,51210
South Dakota,2020,16290,28880,175340,122222,67521,116400,53591
South Dakota,2021,15591,27737,174791,119838,68241,119331,54706
Tennessee,2012,266331,419059,1401231,901089,264506,644834,353840
Tennessee,2013,259857,410057,1419730,907130,272396,657028,366520
Tennessee,2014,253923,398852,1434294,911486,280171,676462,381055
Tennessee,2015,246828,389310,1445466,918673,287483,696512,395764
Tennessee,2016,237663,382885,1451602,931093,301681,712781,409635
Tennessee,2017,228179,375345,1461364,934347,312442,738613,428160
Tennessee,2018,219600,370670,1467848,942609,323928,762299,443752
Tennessee,2019,210732,364396,1472003,951755,334362,789448,464697
Tennessee,2020,196509,351224,1479648,964332,349162,826947,482025
Tennessee,2021,189020,340142,1485813,968644,357650,859255,507956
Texas,2012,1521564,1509625,3986617,3592978,1014456,2761112,1378696
Texas,2013,1516977,1511267,4070700,3654061,1041307,2850532,1435463
Texas,2014,1519482,1505854,4145289,3726610,1079891,2948330,1501274
Texas,2015,1524313,1503584,4220317,3774658,1119055,3054382,1568834
Texas,2016,1519768,1496184,4286126,3821713,1160660,3158468,1642209
Texas,2017,1513995,1491909,4372430,3857193,1208509,3288777,1721618
Texas,2018,1506111,1487321,4448881,3892527,1261050,3409836,1809633
Texas,2019,1482952,1475007,4525099,3918815,1309005,3534714,1885962
Texas,2020,1444382,1440352,4559034,3974299,1369606,3671085,1991093
Texas,2021,1422360,1403821,4563619,3956030,1402444,3791665,2079530
Utah,2012,49653,98107,376840,434957,147401,317521,153664
Utah,2013,49513,97839,380031,444913,150873,327448,159985
Utah,2014,49201,98358,382208,453180,156307,336426,167048
Utah,2015,49992,96841,388126,457927,160275,347460,173577
Utah,2016,49900,94763,393484,461790,166445,358887,181834
